id,display_name,description_text,description_rights_author,description_rights_license,description_rights_source_name,description_rights_source_url,image_full_size_url,image_thumbnail_url,image_rights_author,image_rights_license,image_rights_source_name,image_rights_source_url
hand sewing,hand sewing,"Sewing by hand, as distinct from sewing by machine.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,
hand weaving,hand weaving,Weaving on a loom or other device operated wholly or partly by hand or foot power.,The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,
handkerchief hem,handkerchief hem,,,,,,,,,,,
hanging sleeve,hanging sleeve,"Long loose sleeves with a slit through which the arm can emerge. Also, long false decorative sleeves attached to the back of the armhole. Worn by men, women, or children especially from the 15th through the 18th century.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,
hemp,hemp,"Fiber derived from the stalk of the species Cannabis sativa. Fibers range from 1-2 m in length and are yellow to brown in color. They have a high cellulose content with little lignin. Hemp is lustrous, strong, and durable with good resistance to water, salts, light, and insects; used for cordage, fish lines, sailcloth, canvas, burlap, packing, and as a fiber for paper or for plastic filler.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,http://worksheet.dressdiscover.org/img/full_size/Hanfstengel.jpg,http://worksheet.dressdiscover.org/img/thumbnail/Hanfstengel.jpg,Wikipedia User Natrij,Public domain,Wikipedia,https://commons.wikimedia.org/wiki/File:Hanfstengel.jpg
henley,henley,,,,,,http://worksheet.dressdiscover.org/img/full_size/205px-Shirt-types.svg.png,http://worksheet.dressdiscover.org/img/thumbnail/205px-Shirt-types.svg.jpg,Wikimedia Users: Elkagye and Themightyquill,Creative Commons Attribution-Share Alike,Wikipedia,https://commons.wikimedia.org/wiki/File:Shirt-types.svg
high,high,,,,,,,,,,,
hip length,hip length,,,,,,,,,,,
hip-level,hip-level,,,,,,,,,,,
hooks and eyes,hooks and eyes,"Two-part fastening devices, as on a garment or a door, consisting of a hook that catches over a bar or into a loop.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,http://worksheet.dressdiscover.org/img/full_size/Hook-and-eye.jpg,http://worksheet.dressdiscover.org/img/thumbnail/Hook-and-eye.jpg,Wikipedia user Eitan F,Creative Commons Attribution-Share Alike,Wikipedia,https://en.wikipedia.org/wiki/Hook-and-eye
hourglass (silhouette),hourglass (silhouette),,,,,,,,,,,
inset,inset,,,,,,,,,,,
jabot,jabot,"Detachable, made-up cascades of soft fabric, often lace, worn at the center front of the neckline over other garments. (AAT)",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/vow/AATFullDisplay?find=jabot&logic=AND&note=&english=N&prev_page=1&subjectid=300210062,http://worksheet.dressdiscover.org/img/full_size/429px-Jabot.jpg,http://worksheet.dressdiscover.org/img/thumbnail/429px-Jabot.jpg,David Ring,Public domain,Wikipedia,https://commons.wikimedia.org/wiki/File:Jabot.jpg
jacquard,jacquard,Any woven figured textile produced on a Jacquard loom.,The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,
jewel,jewel,,,,,,,,,,,
Juliet,Juliet,,,,,,,,,,,
jumper,jumper,"Sleeveless dresses or skirts with straps and a partial or full bodice, usually worn over a shirt or blouse by women and children.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,
keyhole,keyhole,,,,,,,,,,,
kimono sleeve,kimono sleeve,"A sleeve cut in one with the bodice in a wide sloping shape, similar to that on traditional Chinese robes (not Japanese kimono whose sleeves are sewn separately).",Wikipedia contributors,Creative Commons Attribution-ShareAlike,Wikipedia,https://en.wikipedia.org/w/index.php?title=Sleeve&oldid=826178611,http://worksheet.dressdiscover.org/img/full_size/429px-Kimono_sleeve.jpg,http://worksheet.dressdiscover.org/img/thumbnail/429px-Kimono_sleeve.jpg,Wikimedia user Henna,Public domain,Wikipedia,https://commons.wikimedia.org/wiki/File:Kimono_sleeve.jpg
knee length,knee length,,,,,,,,,,,
knit,knit,,,,,,,,,,,
knitting,knitting,"The forming and interlacing of loops by means of needles according to a prescribed manner or pattern, either by machine or by hand; most often used for textiles or costume.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,http://worksheet.dressdiscover.org/img/full_size/Blue_socks__knitting_in_progress.jpg,http://worksheet.dressdiscover.org/img/thumbnail/Blue_socks__knitting_in_progress.jpg,Wikipedia User Lisa Risager from Denmark,Creative Commons Attribution-Share Alike 2.0 Generic,Wikipedia,"https://commons.wikimedia.org/wiki/File:Blue_socks,_knitting_in_progress.jpg"
lace,lace,"Refers to a fine, openwork ornamental textile work formed by looping, interlacing, twisting, plaiting, or braiding threads of linen, cotton, silk, hair, metal, or another fiber to form designs or patterns. Lace may be made with a needle or with bobbins. Embroidery may be added. Modern lace may be made by machine. Openwork fabrics made on a loom and ornamental openwork knitting are generally not classified as lace. Lace is often white or monochromatic. True lace developed in the fourteenth century in Europe and the Middle East, although ornamented openwork fabrics were known in ancient cultures, including the Egyptian culture. Lace may be used as a border, edging, or insert on linens or apparel; it is also formed into large pieces of cloth used for hangings, draperies, apparel, or other items. (AAT)",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/vow/AATFullDisplay?find=lace&logic=AND&note=&english=N&prev_page=2&subjectid=300132861,http://worksheet.dressdiscover.org/img/full_size/lossy-page1-428px-Lace_fragment.tif.jpg,http://worksheet.dressdiscover.org/img/thumbnail/lossy-page1-428px-Lace_fragment.tif.jpg,David Ring,Public domain,Wikipedia,https://commons.wikimedia.org/wiki/File:Lace_fragment.tif
lace making,lace making,,,,,,,,,,,
lacing,lacing,"Cord, tape, or ribbon used for fastening by interlacing through holes in two garments or two sides of an opening. (EFT)",Europeana Fashion Thesaurus,Public domain,Wikidata,https://www.wikidata.org/wiki/Wikidata:Data_access/en,http://worksheet.dressdiscover.org/img/full_size/Lacing.jpg,http://worksheet.dressdiscover.org/img/thumbnail/Lacing.jpg,David Ring,Public domain,Wikipedia / Europeana Fashion Thesaurus,https://commons.wikimedia.org/wiki/File:Lace_(fastening).jpg
lantern sleeve,lantern sleeve,,,,,,,,,,,
lavender,lavender,"A range of purplish or bluish colors resembling the color of flower of the lavender plant, which is a Mediterranean mint widely cultivated for its narrow aromatic leaves and spikes of flowers that are dried and used in sachets.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,
layering,layering,Forming or arranging in layers.,The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,
leather,leather,"The skin or hide of an animal that has been tanned to render it resistant to putrefication and relatively soft and flexible when dry. For composite material made from scrap leather pieces, use maril. (AAT)",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/vow/AATFullDisplay?find=leather&logic=AND&note=&english=N&prev_page=1&subjectid=300011845,,,,,,
leg-of-mutton sleeve,leg-of-mutton sleeve,A sleeve that is extremely wide over the upper arm and narrow from the elbow to the wrist.,Wikipedia contributors,Creative Commons Attribution-ShareAlike,Wikipedia,https://en.wikipedia.org/w/index.php?title=Sleeve&oldid=826178611,http://worksheet.dressdiscover.org/img/full_size/Leg-of-mutton_sleeve.jpg,http://worksheet.dressdiscover.org/img/thumbnail/Leg-of-mutton_sleeve.jpg,Wikimedia user Henna,Public domain,Wikipedia,https://commons.wikimedia.org/wiki/File:Leg-of-mutton_sleeve.jpg
linen,linen,General name for textile woven from the spun fiber of the flax plant.,The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,http://worksheet.dressdiscover.org/img/full_size/Textielmuseum_cabinet_02.jpg,http://worksheet.dressdiscover.org/img/thumbnail/Textielmuseum_cabinet_02.jpg,TextileMuseum,Creative Commons Attribution-Share Alike 4.0 International,Wikipedia,https://commons.wikimedia.org/wiki/File:Textielmuseum-cabinet-02.jpg
long sleeve,long sleeve,,,,,,,,,,,
looped pile,looped pile,,,,,,,,,,,
machine sewing,machine sewing,"Sewing by machine, as distinct from sewing by hand.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,
Mandarin collar,Mandarin collar,,,,,,http://worksheet.dressdiscover.org/img/full_size/348px-File-Abhisit_Vejjajiva_2_October_2009_cropped.jpg,http://worksheet.dressdiscover.org/img/thumbnail/348px-File-Abhisit_Vejjajiva_2_October_2009_cropped.jpg,Abhisit Vejjajiva (on Flickr),Creative Commons Attribution,Flickr,https://commons.wikimedia.org/wiki/File:File-Abhisit_Vejjajiva_2_October_2009_cropped.jpg
mantua,mantua,"Type of ladies' garment that first developed in the 1670s in Europe; they were relatively loose, gown- or coat-like garments worn belted at the waist with a long train draped at the hips to reveal the front of the matching petticoat below. This style replaced the earlier stiff, constricting boned bodice-and-skirt style previously worn by women. As the style evolved, the pleats at the front were reduced in number and the bodice was opened, with the torso now covered by a stiffened piece of fabric known as a stomacher. Originally an informal style, the mantua gradually developed as formal dress and the skirt grew to extraordinary proportions. The mantua was thought to display silk designs to their best advantage, as they were draped rather than cut; as such, it is believed the garment was named after Mantua, Italy, where expensive silks were produced. However, it has also been suggested that the name derives from manteau, the French term for a coat.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,http://worksheet.dressdiscover.org/img/full_size/Mantua_MET_DT6543.jpg,http://worksheet.dressdiscover.org/img/thumbnail/Mantua_MET_DT6543.jpg,Metropolitan Museum of Art,Public domain,Wikipedia,https://commons.wikimedia.org/wiki/File:Mantua_MET_DT6543.jpg
maroon,maroon,"A range of dark reddish or purplish brown colors resembling the color of dyes or colorants made from chestnut bark, derived from trees or shrubs of the genus Castanea of the beech family; from the Italian word for chestnut, ""marrone.""",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/vow/AATFullDisplay?find=maroon&logic=AND&note=&english=N&prev_page=1&subjectid=300311173,,,,,,
matelasse,matelasse,"A double-woven textile with a quilted appearance, utilizing a wadding weft to increase the relief.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,
mercerizing,mercerizing,"Treatment of cotton yarn or fabric by immersion in a caustic solution of sodium hydroxide or other chemical base. Fibers so treated swell permanently, and the cotton is made stronger and more lustrous. Named after Alexander Mercer (1791-1866), who perfected the process.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,
metal,metal,"Any of a large group of substances that typically show a characteristic luster, are good conductors of electricity and heat, are opaque, can be fused, and are usually malleable or ductile. (AAT)",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/vow/AATFullDisplay?find=metal&logic=AND&note=&english=N&prev_page=2&subjectid=300010900,,,,,,
metal eyelets,metal eyelets,,,,,,,,,,,
microfiber,microfiber,,,,,,,,,,,
mid calf length,mid calf length,,,,,,http://worksheet.dressdiscover.org/img/full_size/460px-StateLibQld_1_198347_Models_wearing_billowy_dresses_on_the_beach_at_Surfers_Paradise%2C_1951.jpg,http://worksheet.dressdiscover.org/img/thumbnail/460px-StateLibQld_1_198347_Models_wearing_billowy_dresses_on_the_beach_at_Surfers_Paradise%2C_1951.jpg,"Poulsen, Harry (Cameracraft)",Public domain,Wikipedia,"https://commons.wikimedia.org/wiki/File:StateLibQld_1_198347_Models_wearing_billowy_dresses_on_the_beach_at_Surfers_Paradise,_1951.jpg"
mid-thigh length,mid-thigh length,,,,,,,,,,,
mohair,mohair,"Long, lustrous hair of the Angora goat, valued for its strength and excellent spinning qualities.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,http://worksheet.dressdiscover.org/img/full_size/Ull_mohair.jpg,http://worksheet.dressdiscover.org/img/thumbnail/Ull_mohair.jpg,"Wikipedia User AnnaKika from Gothenburg, Sweden",Creative Commons Attribution 2.0 Generic,Wikipedia,https://commons.wikimedia.org/wiki/File:Ull_mohair.jpg
moire,moire,"Patterns having a watered or rippled look. Where this produces an illusion of movement, use moiré effect. (AAT)",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/vow/AATFullDisplay?find=moire&logic=AND&note=&english=N&prev_page=1&subjectid=300010241,http://worksheet.dressdiscover.org/img/full_size/Woven_Fabric_(ST204)_-_MoMu_Antwerp_(detail).jpg,http://worksheet.dressdiscover.org/img/thumbnail/Woven_Fabric_(ST204)_-_MoMu_Antwerp_(detail).jpg,ModeMuseum,Creative Commons Attribution-Share Alike 4.0 Internationa,Wikipedia,https://commons.wikimedia.org/wiki/File:Woven_Fabric_(ST204)_-_MoMu_Antwerp_(detail).jpg
multicolor,multicolor,,,,,,,,,,,
Napoleon,Napoleon,,,,,,,,,,,
natural fiber,natural fiber,,,,,,,,,,,
natural waistline,natural waistline,,,,,,,,,,,
navy blue,navy blue,"Range of deep grayish blues, originally named for the color of the British naval uniform.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,
needle work,needle work,,,,,,,,,,,
needlepoint,needlepoint,Refers to works created with a needle and thread on fabric or a mesh of canvas. The works are characterized by designs that are executed by using the grid of the fabric to count out the desired position of various stitches or colors in the design.,The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,
net,net,"Refers to an open weave textile made of thread, twine, yarn, or cord, usually of silk, cotton, nylon, or rayon, with fine to coarse meshes of fixed dimension. It is characterized by being a simple mesh joined by knots; it may be made by hand or by machine. It may be used to make various items from veils and trimming on clothing to tennis nets and fishing nets. Fine net that is used in lace, headwear, and other apparel is often referred to as netting rather than as net. For the objects consisting of meshed arrangements of threads, cords, or ropes that have been twisted, knotted, or woven together at regular intervals, use nets (objects). (AAT)",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/vow/AATFullDisplay?find=net&logic=AND&note=&english=N&prev_page=1&subjectid=300249438,,,,,,
no waistline,no waistline,,,,,,,,,,,
nylon,nylon,Any of a variety of thermoplastic polymers originally developed as textile fibers and used in fabrics. They have a straight-chain polyamide structure and are largely heat-resistant.,The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/vow/AATFullDisplay?find=nylon&logic=AND&note=&english=N&prev_page=1&subjectid=300014462,,,,,,
off the shoulder,off the shoulder,,,,,,,,,,,
orange,orange,"Hue name for the color representing that portion of the spectrum that is intermediate between red and yellow, with wavelengths between 585 and 620 nanometers. The term may refer to any of this group of colors that vary in lightness and saturation. An example of orange color in nature is that of the citrus fruit orange, for which the color is named in modern English. It is a secondary pigment color (made by combining yellow and red). (AAT)",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,http://worksheet.dressdiscover.org/img/full_size/Color_icon_orange.jpg,http://worksheet.dressdiscover.org/img/thumbnail/Color_icon_orange.jpg,Wikimedia user Booyabazooka,Public domain,Wikipedia,https://commons.wikimedia.org/wiki/File:Color_icon_orange.png
painting,painting,"The art and practice of applying pigments suspended in water, oil, egg yolk, molten wax, or other liquid to a surface to create an expressive or communicative image. Paint is usually, but not always, applied with a brush. For the application of paint primarily to protect a surface or add a general color, use ""painting (coating).""",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,
peaked lapel,peaked lapel,,,,,,,,,,,
peg-top,peg-top,,,,,,,,,,,
pegged,pegged,,,,,,,,,,,
pencil skirt,pencil skirt,a tailored skirt hanging straight from the hips and fitted from the waist to the hips by means of darts or a yoke; may have a vent or kick-pleat set in the hem for ease of walking,Wikipedia contributors,Creative Commons Attribution-ShareAlike,Wikipedia,https://en.wikipedia.org/w/index.php?title=Skirt&oldid=826503853,http://worksheet.dressdiscover.org/img/full_size/328px-Bakst_fantasy_on_modern_costume_Atalanta_1912.jpg,http://worksheet.dressdiscover.org/img/thumbnail/328px-Bakst_fantasy_on_modern_costume_Atalanta_1912.jpg,Léon Bakst,Public domain,Wikipedia,https://commons.wikimedia.org/wiki/File:Bakst_fantasy_on_modern_costume_Atalanta_1912.jpg
peplum,peplum,"Short, skirtlike sections of a costume attached at the waistline, such as on a bodice or jacket, and usually extending to cover the hips.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/vow/AATFullDisplay?find=peplum&logic=AND&note=&english=N&prev_page=1&subjectid=300248709,http://worksheet.dressdiscover.org/img/full_size/429px-Peplum.jpg,http://worksheet.dressdiscover.org/img/thumbnail/429px-Peplum.jpg,David Ring,Public domain,Wikipedia,https://commons.wikimedia.org/wiki/File:Peplum.jpg
petal,petal,,,,,,,,,,,
Peter Pan collar,Peter Pan collar,,,,,,http://worksheet.dressdiscover.org/img/full_size/429px-Peter_Pan_collar.jpg,http://worksheet.dressdiscover.org/img/thumbnail/429px-Peter_Pan_collar.jpg,David Ring,Public domain,Wikipedia,https://commons.wikimedia.org/wiki/File:Peter_Pan_collar.jpg
piecing,piecing,Joining small pieces of cloth together with a seam to form an overall pattern.,The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,
pinafore,pinafore,,,,,,http://worksheet.dressdiscover.org/img/full_size/Child_and_Doll.jpg,http://worksheet.dressdiscover.org/img/thumbnail/Child_and_Doll.jpg,"Lillybridge, Charles S., 1849-1935",Public domain,Wikipedia,https://commons.wikimedia.org/wiki/File:Child_and_Doll.jpg
pink,pink,"Hue name for the range of colors intermediate between red and white, often a pale red, sometimes with a slight purple or yellow tinge. (AAT)",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,http://worksheet.dressdiscover.org/img/full_size/Shades_of_pink.png,http://worksheet.dressdiscover.org/img/thumbnail/Shades_of_pink.jpg,Wikimedia user Gabriela Ruellan,Public domain,Wikipedia,https://commons.wikimedia.org/wiki/File:Shades_of_pink.png
piping,piping,"Tubular strip of textile, usually bias-cut, which may or may not enclose a cord, used for trimming the edges and seams of costume, coverings, and hangings. May be of matching or contrasting fabric, sometimes also in leather.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,
plain weave,plain weave,"Textile in which warp/weft pathways are over/under every other thread. Tabby weave textiles are woven by a method based on a unit of two ends and two picks, in which each end passes over one and under one pick; the binding points are set over one end on successive picks.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,
plastic,plastic,"A general term for any of a large and varied class of natural or synthetic organic materials that can be molded, extruded, or cast when soft or liquid, and then set into a rigid or slightly elastic form. Natural plastics include tree resins, beeswax, gutta-percha, horn, and clay. Synthetic plastics were first made in the 19th century. Plastics are used widely in manufacturing.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,
pleated skirt,pleated skirt,,,,,,http://worksheet.dressdiscover.org/img/full_size/429px-Pleated_skirt.jpg,http://worksheet.dressdiscover.org/img/thumbnail/429px-Pleated_skirt.jpg,David Ring,Public domain,Wikipedia,https://commons.wikimedia.org/wiki/File:Pleated_skirt.jpg
pleating,pleating,"Double folding a definite, even width of fabric and fixing it in place by sewing or pressing or both.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/vow/AATFullDisplay?find=pleated&logic=AND&note=&english=N&prev_page=1&subjectid=300228556,http://worksheet.dressdiscover.org/img/full_size/Kilt_pleats_001.jpg,http://worksheet.dressdiscover.org/img/thumbnail/Kilt_pleats_001.jpg,Wikipedia User JFPerry~commonswiki,Creative Commons Attribution-Share Alike 2.5 Generic,Wikipedia,https://commons.wikimedia.org/wiki/File:Kilt_pleats_001.jpg
pointed,pointed,"Having a form or outline delimited on at least one end by two intersecting lines, that is, tapering to or ending in a point or apex.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,
polishing,polishing,Process of rubbing a surface to make it smooth or shiny.,The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,
polo neck,polo neck,,,,,,http://worksheet.dressdiscover.org/img/full_size/429px-Polo_shirt.jpg,http://worksheet.dressdiscover.org/img/thumbnail/429px-Polo_shirt.jpg,David Ring,Public domain,Wikipedia,https://commons.wikimedia.org/wiki/File:Polo_shirt.jpg
Polonaise,Polonaise,,,,,,,,,,,
polyester,polyester,Refers to polyester polymers used as fibers woven into fabrics. (AAT),The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/vow/AATFullDisplay?find=polyester&logic=AND&note=&english=N&prev_page=1&subjectid=300379829,,,,,,
portrait collar,portrait collar,,,,,,,,,,,
prairie skirt,prairie skirt,,,,,,,,,,,
printing,printing,"Various means of reproducing identical copies of graphic matter in a fixed form. Processes by which an image, pictorial or textual, is transferred, usually to paper or cloth, most often by means of a plate, block, stone, or screen. Use also for the making of photographic prints and, with computers, for the production of a paper copy of stored data. For the production of prints in a fine arts context, prefer ""printmaking.""",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,
puff,puff,,,,,,,,,,,
Puritan collar,Puritan collar,,,,,,,,,,,
purple,purple,"Hue name for the colors intermediate between red and blue, originally the colors derived from a crimson mollusk dye. (AAT)",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,http://worksheet.dressdiscover.org/img/full_size/Color_icon_purple.jpg,http://worksheet.dressdiscover.org/img/thumbnail/Color_icon_purple.jpg,Wikimedia user Booyabazooka,Public domain,Wikipedia,https://commons.wikimedia.org/wiki/File:Color_icon_purple.png
quilting,quilting,"Stitching together two or more layers of cloth, usually working the stitches into designs.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,http://worksheet.dressdiscover.org/img/full_size/Caption__March_1__1962___6942858820_.jpg,http://worksheet.dressdiscover.org/img/thumbnail/Caption__March_1__1962___6942858820_.jpg,Mennonite Church USA Archives,no known copyright restrictions,Wikipedia,"https://commons.wikimedia.org/wiki/File:Caption-_March_1,_1962._(6942858820).jpg"
raglan,raglan,,,,,,,,,,,
ramie,ramie,"Bast fiber obtained from the stems of several varieties of the species Boehmeria nivea, native to tropical Asia but cultivated in China, Japan, Europe, South America, and the United States. The Ramie has been used in China for paper and fabric since prehistoric times. Its use spread through Europe in the Middle Ages. It is white or green in color, depending upon the variety. It is soft, fine, and durable fiber that is very lustrous and dyes well, used for twine, fishnets, sewing thread, and fabric for clothing, summer suits, dresses, canvas, tablecloths, and upholstery. Ramie has also been used to produce strong paper for linings, banknotes, and cigarettes.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,http://worksheet.dressdiscover.org/img/full_size/Radevormwald_Dahlerau___Wlfingmuseum_29_ies.jpg,http://worksheet.dressdiscover.org/img/thumbnail/Radevormwald_Dahlerau___Wlfingmuseum_29_ies.jpg,Frank Vincentz,Creative Commons Attribution-Share Alike 3.0 Unported,Wikipedia,https://commons.wikimedia.org/wiki/File:Radevormwald_Dahlerau_-_W%C3%BClfingmuseum_29_ies.jpg
rayon,rayon,Synthetic fiber made from regenerated cellulose.,The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,
red,red,"Hue name for one of the three primary additive colors; that portion of the spectrum lying at the lowest frequencies of light discernible by the human eye, with a wavelength range between 630 and 760 nanometers. The term may refer to any of this group of colors that vary in lightness and saturation. Examples of red color in nature are that of blood and ripe cherries.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/vow/AATFullDisplay?find=red&logic=AND&note=&subjectid=300126225,http://worksheet.dressdiscover.org/img/full_size/Color_icon_red.jpg,http://worksheet.dressdiscover.org/img/thumbnail/Color_icon_red.jpg,Wikipedia user Badseed,Public domain,Wikipedia,https://commons.wikimedia.org/wiki/File:Color_icon_red.svg
rib knit,rib knit,,,,,,,,,,,
rib weave,rib weave,"Woven fabrics with ribbed or corded effects in either the warp or filling direction. Warp faced rib weave has a fine warp covering a thicker weft. In weft faced rib weave, a thin weft completely covers a thicker warp.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,
ribbon,ribbon,"Strips of fine textile, such as silk, satin, or velvet, often with a cord finish along both edges instead of selvage, forming a narrow strip or band, used for decorative trimming of a garment or for fastening or attaching something. May also refer to anything that resembles such objects, that is, any long, thin, flat, flexible strips of any material. (AAT)",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/vow/AATFullDisplay?find=ribbon&logic=AND&note=&english=N&prev_page=1&subjectid=300014668,http://worksheet.dressdiscover.org/img/full_size/1.png,http://worksheet.dressdiscover.org/img/thumbnail/1.jpg,Wikipedia user Slesik Svetlana,Creative Commons Attribution-Share Alike 4.0 International,Wikipedia,https://commons.wikimedia.org/wiki/File:%D0%9E%D1%80%D0%B4%D0%B5%D0%BD%D1%81%D0%BA%D0%B8%D0%B5_%D0%BB%D0%B5%D0%BD%D1%82%D1%8B_1.png
robe a l'Anglaise,robe a l'Anglaise,,,,,,,,,,,
robe a la Francaise,robe a la Francaise,,,,,,,,,,,
roll-up sleeves,roll-up sleeves,,,,,,,,,,,
round gown,round gown,Refers to 18th- and 19th-century full-length gowns cut without a center front opening in the skirt and usually without a train.,The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,
round neckline,round neckline,,,,,,http://worksheet.dressdiscover.org/img/full_size/429px-Round_neck.jpg,http://worksheet.dressdiscover.org/img/thumbnail/429px-Round_neck.jpg,David Ring,Public domain,Wikipedia,https://commons.wikimedia.org/wiki/File:Round_neck.jpg
